index,mean energies,mean magnetisations
268,-299.582,0.998657
269,-299.584,0.998662
270,-299.585,0.998667
271,-299.587,0.998672
272,-299.551,0.998603
273,-299.553,0.998608
274,-299.555,0.998613
275,-299.556,0.998618
276,-299.558,0.998623
277,-299.56,0.998628
278,-299.561,0.998633
279,-299.563,0.998638
280,-299.564,0.998643
281,-299.566,0.998648
282,-299.567,0.998653
283,-299.569,0.998657
284,-299.57,0.998662
285,-299.572,0.998667
286,-299.573,0.998671
287,-299.575,0.998676
288,-299.576,0.998681
289,-299.578,0.998685
290,-299.579,0.99869
291,-299.581,0.998694
292,-299.582,0.998699
293,-299.584,0.998703
294,-299.585,0.998708
295,-299.586,0.998712
296,-299.588,0.998716
297,-299.589,0.998721
298,-299.591,0.998725
299,-299.592,0.998729
300,-299.593,0.998733
301,-299.595,0.998738
302,-299.596,0.998742
303,-299.597,0.998746
304,-299.599,0.99875
305,-299.6,0.998754
306,-299.601,0.998758
307,-299.603,0.998762
308,-299.604,0.998766
309,-299.605,0.99877
310,-299.606,0.998774
311,-299.608,0.998778
312,-299.609,0.998782
313,-299.61,0.998786
314,-299.611,0.99879
315,-299.613,0.998794
316,-299.614,0.998798
317,-299.615,0.998801
318,-299.616,0.998805
319,-299.618,0.998809
320,-299.619,0.998813
321,-299.62,0.998816
322,-299.621,0.99882
323,-299.622,0.998824
324,-299.623,0.998827
325,-299.625,0.998831
326,-299.626,0.998834
327,-299.627,0.998838
328,-299.628,0.998842
329,-299.629,0.998845
330,-299.63,0.998849
331,-299.631,0.998852
332,-299.633,0.998855
333,-299.634,0.998859
334,-299.635,0.998862
335,-299.636,0.998866
336,-299.637,0.998869
337,-299.638,0.998872
338,-299.639,0.998876
339,-299.64,0.998879
340,-299.641,0.998882
341,-299.642,0.998886
342,-299.643,0.998889
343,-299.644,0.998892
344,-299.645,0.998895
345,-299.646,0.998899
346,-299.647,0.998902
347,-299.648,0.998905
348,-299.649,0.998908
349,-299.65,0.998911
350,-299.651,0.998914
351,-299.652,0.998917
352,-299.653,0.998921
353,-299.654,0.998924
354,-299.655,0.998927
355,-299.656,0.99893
356,-299.629,0.998877
357,-299.63,0.99888
358,-299.631,0.998883
359,-299.632,0.998886
360,-299.633,0.998889
361,-299.634,0.998892
362,-299.635,0.998895
363,-299.636,0.998898
364,-299.637,0.998901
365,-299.638,0.998904
366,-299.639,0.998907
367,-299.64,0.99891
368,-299.641,0.998913
369,-299.642,0.998916
370,-299.643,0.998919
371,-299.644,0.998922
372,-299.645,0.998925
373,-299.646,0.998928
374,-299.647,0.998931
375,-299.648,0.998933
376,-299.649,0.998936
377,-299.65,0.998939
378,-299.651,0.998942
379,-299.652,0.998945
380,-299.653,0.998947
381,-299.654,0.99895
382,-299.654,0.998953
383,-299.655,0.998956
384,-299.656,0.998958
385,-299.657,0.998961
386,-299.658,0.998964
387,-299.659,0.998967
388,-299.66,0.998969
389,-299.661,0.998972
390,-299.662,0.998974
391,-299.662,0.998977
392,-299.663,0.99898
393,-299.664,0.998982
394,-299.665,0.998985
395,-299.666,0.998987
396,-299.667,0.99899
397,-299.668,0.998993
398,-299.668,0.998995
399,-299.669,0.998998
400,-299.67,0.999
401,-299.671,0.999003
402,-299.672,0.999005
403,-299.672,0.999008
404,-299.673,0.99901
405,-299.674,0.999012
406,-299.675,0.999015
407,-299.676,0.999017
408,-299.676,0.99902
409,-299.677,0.999022
410,-299.678,0.999024
411,-299.679,0.999027
412,-299.68,0.999029
413,-299.68,0.999032
414,-299.681,0.999034
415,-299.682,0.999036
416,-299.683,0.999039
417,-299.683,0.999041
418,-299.684,0.999043
419,-299.685,0.999045
420,-299.686,0.999048
421,-299.686,0.99905
422,-299.687,0.999052
423,-299.688,0.999054
424,-299.689,0.999057
425,-299.689,0.999059
426,-299.69,0.999061
427,-299.667,0.999017
428,-299.668,0.999019
429,-299.669,0.999021
430,-299.67,0.999023
431,-299.671,0.999026
432,-299.671,0.999028
433,-299.672,0.99903
434,-299.673,0.999032
435,-299.674,0.999035
436,-299.674,0.999037
437,-299.675,0.999039
438,-299.676,0.999041
439,-299.677,0.999043
440,-299.677,0.999046
441,-299.678,0.999048
442,-299.679,0.99905
443,-299.679,0.999052
444,-299.68,0.999054
445,-299.681,0.999056
446,-299.682,0.999058
447,-299.682,0.999061
448,-299.683,0.999063
449,-299.684,0.999065
450,-299.684,0.999067
451,-299.685,0.999069
452,-299.686,0.999071
453,-299.687,0.999073
454,-299.687,0.999075
455,-299.688,0.999077
456,-299.689,0.999079
457,-299.689,0.999081
458,-299.69,0.999083
459,-299.691,0.999085
460,-299.691,0.999087
461,-299.692,0.999089
462,-299.693,0.999091
463,-299.693,0.999093
464,-299.694,0.999095
465,-299.695,0.999097
466,-299.695,0.999099
