index,mean energies,mean magnetisations
254,-199.165,-0.00015748
255,-199.169,-0.000156863
256,-199.172,-0.00015625
257,-199.175,-0.000155642
258,-199.178,-0.000155039
259,-199.181,-0.00015444
260,-199.185,-0.000153846
261,-199.188,-0.000153257
262,-199.191,-0.000152672
263,-199.194,-0.000152091
264,-199.197,-0.000151515
265,-199.2,-0.000150943
266,-199.203,-0.000150376
267,-199.206,-0.000149813
268,-199.209,-0.000149254
269,-199.212,-0.000148699
270,-199.215,-0.000148148
271,-199.218,-0.000147601
272,-199.191,-0.000220588
273,-199.194,-0.00021978
274,-199.197,-0.000218978
275,-199.2,-0.000218182
276,-199.203,-0.000217391
277,-199.206,-0.000216606
278,-199.209,-0.000215827
279,-199.211,-0.000215054
280,-199.214,-0.000214286
281,-199.217,-0.000213523
282,-199.22,-0.000212766
283,-199.223,-0.000212014
284,-199.225,-0.000211268
285,-199.228,-0.000210526
286,-199.231,-0.00020979
287,-199.233,-0.000209059
288,-199.236,-0.000208333
289,-199.239,-0.000207612
290,-199.241,-0.000206897
291,-199.244,-0.000206186
292,-199.247,-0.000205479
293,-199.249,-0.000204778
294,-199.252,-0.000204082
295,-199.254,-0.00020339
296,-199.23,-0.00027027
297,-199.205,-0.00020202
298,-199.181,-0.000268456
299,-199.184,-0.000267559
300,-199.187,-0.000266667
301,-199.189,-0.000265781
302,-199.192,-0.000264901
303,-199.195,-0.000264026
304,-199.197,-0.000263158
305,-199.2,-0.000262295
306,-199.203,-0.000261438
307,-199.205,-0.000260586
308,-199.208,-0.00025974
309,-199.21,-0.0002589
310,-199.213,-0.000258065
311,-199.215,-0.000257235
312,-199.218,-0.00025641
313,-199.22,-0.000255591
314,-199.223,-0.000254777
315,-199.225,-0.000253968
316,-199.228,-0.000253165
317,-199.23,-0.000252366
318,-199.233,-0.000251572
319,-199.235,-0.000250784
320,-199.238,-0.00025
321,-199.24,-0.000249221
322,-199.242,-0.000248447
323,-199.245,-0.000247678
324,-199.247,-0.000246914
325,-199.249,-0.000246154
326,-199.252,-0.000245399
327,-199.254,-0.000244648
328,-199.256,-0.000243902
329,-199.258,-0.000243161
330,-199.261,-0.000242424
331,-199.263,-0.000241692
332,-199.265,-0.000240964
333,-199.267,-0.00024024
334,-199.269,-0.000239521
335,-199.272,-0.000238806
336,-199.274,-0.000238095
337,-199.276,-0.000237389
338,-199.278,-0.000236686
339,-199.28,-0.000235988
340,-199.282,-0.000235294
341,-199.284,-0.000234604
342,-199.287,-0.000233918
343,-199.289,-0.000233236
344,-199.291,-0.000232558
345,-199.293,-0.000231884
346,-199.295,-0.000231214
347,-199.297,-0.000230548
348,-199.299,-0.000229885
349,-199.301,-0.000229226
350,-199.303,-0.000228571
351,-199.305,-0.00022792
352,-199.307,-0.000227273
353,-199.309,-0.000226629
354,-199.311,-0.000225989
355,-199.29,-0.00028169
356,-199.292,-0.000280899
357,-199.294,-0.000280112
358,-199.296,-0.00027933
359,-199.276,-0.000334262
360,-199.278,-0.000333333
361,-199.28,-0.00033241
362,-199.282,-0.000331492
363,-199.284,-0.000330578
364,-199.286,-0.00032967
365,-199.288,-0.000328767
366,-199.29,-0.000327869
367,-199.27,-0.000381471
368,-199.272,-0.000380435
369,-199.274,-0.000379404
370,-199.276,-0.000378378
371,-199.278,-0.000377358
372,-199.28,-0.000376344
373,-199.281,-0.000375335
374,-199.283,-0.000374332
375,-199.285,-0.000373333
376,-199.287,-0.00037234
377,-199.289,-0.000371353
378,-199.291,-0.00037037
379,-199.293,-0.000369393
380,-199.295,-0.000368421
381,-199.297,-0.000367454
382,-199.298,-0.000366492
383,-199.3,-0.000365535
384,-199.302,-0.000364583
385,-199.304,-0.000363636
386,-199.306,-0.000362694
387,-199.307,-0.000361757
388,-199.309,-0.000360825
389,-199.311,-0.000359897
390,-199.313,-0.000358974
391,-199.315,-0.000358056
392,-199.316,-0.000357143
393,-199.318,-0.000356234
394,-199.32,-0.00035533
395,-199.322,-0.00035443
396,-199.323,-0.000353535
397,-199.325,-0.000352645
398,-199.327,-0.000351759
399,-199.328,-0.000350877
400,-199.33,-0.00035
401,-199.332,-0.000349127
402,-199.333,-0.000348259
403,-199.335,-0.000347394
404,-199.337,-0.000346535
405,-199.338,-0.000345679
406,-199.34,-0.000344828
407,-199.342,-0.00034398
408,-199.343,-0.000343137
409,-199.345,-0.000342298
410,-199.346,-0.000341463
411,-199.348,-0.000340633
412,-199.35,-0.000339806
413,-199.351,-0.000338983
414,-199.353,-0.000338164
415,-199.354,-0.000337349
416,-199.356,-0.000336538
417,-199.357,-0.000335731
418,-199.359,-0.000334928
419,-199.36,-0.000334129
420,-199.362,-0.000333333
421,-199.363,-0.000332542
422,-199.365,-0.000331754
423,-199.348,-0.000283688
424,-199.349,-0.000283019
425,-199.351,-0.000282353
426,-199.352,-0.00028169
427,-199.335,-0.000327869
428,-199.336,-0.000327103
429,-199.319,-0.00027972
430,-199.321,-0.00027907
431,-199.323,-0.000278422
432,-199.324,-0.000277778
433,-199.326,-0.000277136
434,-199.327,-0.000276498
435,-199.329,-0.000275862
436,-199.33,-0.000275229
437,-199.332,-0.0002746
438,-199.333,-0.000273973
439,-199.335,-0.000273349
440,-199.336,-0.000272727
441,-199.338,-0.000272109
442,-199.339,-0.000271493
443,-199.341,-0.00027088
