sigma,mean,meanErr
0.8662155977776894,358.4958977876397,0.09189505309415094
0.6932269214922777,362.4597283993565,0.03843894632622396
1.1194722080131863,372.03885534142177,0.10803387672962408
0.8230125210789068,375.93659490123315,0.05553277243560669
0.7188363906133415,380.27453025047373,0.044094315773635435
0.6971428050740895,385.2241408650047,0.044449562237777455
1.1275884944106755,390.49999819985896,0.08608081473092735
0.9081431163382518,394.22269144951974,0.06070108996774137
0.7766778379796945,398.98567662002034,0.046583987289307294
0.7630171242331468,404.47404494663135,0.05092615850120344
0.79955459843401,410.56623995854017,0.0484191097249549
0.8931781668490643,418.74439902375053,0.04924362573269264
0.8954036022923539,424.6510379774131,0.05022183032626279
0.9191918827969278,431.42595868279545,0.050717260993327774
1.1486670143082292,439.1576332631173,0.03352089738294474
1.0488182632524108,445.9900180004758,0.05304512846260376
1.0660634574096632,453.28250574819765,0.05331820937574791
1.113101914303756,461.6146382500968,0.055324945451592424
3.8888828825557917,543.9237685419041,0.19179094234959382
2.2518793276642186,583.1337264208167,0.0958030574342974
2.2114317910587236,588.0716502080761,0.14057547573500384
2.1983709322655995,603.9747462434063,0.1032365173401954
2.00214561880652,609.4534381437168,0.10447435854024244
3.0561057299009513,634.2413100854221,0.12482122041679043
2.8862032427962503,641.3759436132897,0.12492649824229046
2.607624394288757,648.7805123985452,0.1302978871718757
1.99198269640701,656.6531218314213,0.07559104560005493
2.746708343302084,664.2417976372184,0.13030103700543216
2.796047298739954,672.0993430721528,0.1514158400367583
2.746084749722734,680.435676829821,0.1726010777547362
4.686863998176618,739.9200723675202,0.21623895610292831
4.461287427624887,751.1417744567324,0.20240768078834792
4.637868704342585,763.860957874388,0.242020972168176
3.848631064559412,776.2167100251149,0.1778920017851308
