sigma,mean,meanErr
0.2214224572548777,312.42934632949255,0.014924772840001238
0.2081209190812366,314.35159635353847,0.011750129923874123
0.20573981132059704,316.68437787774513,0.014799196931849721
0.21384801050660324,327.594431311472,0.01763815991417312
0.2164257303371503,329.29281498073703,0.00817305210114542
0.29410879632348136,331.72371569351805,0.039889429056746015
0.2786892085749959,334.69547290123586,0.018593781554042076
0.2601837504283033,337.9253173843793,0.017749963050507765
0.25570586159589026,344.32375415473734,0.04790307933941523
0.24405134918835725,350.8330837872465,0.009618297041715428
0.21825094052394373,354.45395325344793,0.008321631054817157
0.23465938817675772,358.4670752949439,0.009888527008408128
3.79303196427129,256.1640161928636,16312.73939594928
19.913594600148897,231.47904617709085,661250.2935343541
0.527481966652178,364.81974336545727,0.36901246732478654
0.24911193902594697,367.9298889300239,0.01909047841055834
0.5162936911807713,369.2766067449164,0.42499511912294635
0.22321117186763198,371.7988895548916,0.00824476474114937
18.701465153512082,504.57817723553705,246573.4307508956
0.23696974157658948,376.26379147485954,0.009237750303032656
0.22312313603222333,381.21508210773874,0.007840571697109711
0.3004187378490858,382.9957786022788,0.0592486610192065
0.4917122913612025,386.5609715021928,0.23758179511685146
4.8443762383516376,410.711815532596,3354.291958694271
0.2349541830955216,390.1506312888258,0.012130832553751029
0.24390709942136535,394.9572817978455,0.0044168822581316216
0.24440637639570512,400.4533136991497,0.008001652378573764
0.223628730351135,406.5708848847898,0.007848607778763153
0.2635540824561336,410.0667032965128,0.03288113314010728
0.35753067112763787,414.7216938628311,0.04001223385201018
111.63423162937538,583.6933316076858,11438807.604058338
0.24077259763489794,420.6975190163112,0.01011945109745191
0.2214854878042615,427.4932682461016,0.013252028369495815
0.3029122436876085,435.00805415855655,0.030389330201036013
0.16716221175945983,442.12968278265873,0.009334595964935806
0.20961024945762738,449.4026157565237,0.02310889509725877
0.3196465814353226,458.0232846784195,0.0942539360862572
0.20599541605880328,465.8200524299176,0.10668669707763581
