Input : Fractals_25M_3V_tif.tif
Method : Radial
Parameters : cx184.000_cy180.000_coef2.00000_min1.00000_max257.000
Bounds : Range[1.0,257.0]

Dimension : 1.749
b : 5.87947

R2 : 0.990963
p-value : 2.04915e-08
Confidence (95%): [1.599 - 1.898]
Bootstrap confidence : [1.567 - 1.941]

X	Y	Scaling behaviour	Estim
1.00000	239.000	2.02833	357.621
3.00000	2219.00	2.04245	2441.83
5.00000	6299.00	2.01281	5965.40
9.00000	20563.0	1.89957	16672.8
17.0000	68827.0	1.81885	50696.9
33.0000	229988	1.52452	161693
65.0000	646432	1.27812	529026
129.000	1.55235e+06	1.19754	1.75385e+06
257.000	3.54377e+06	NaN	5.85361e+06
