Input : 0.25M_5V_tif.tif-bin
Method : Radial
Parameters : cx296.936_cy209.483_coef1.00000_min1.00000_max421.000
Bounds : Range[13.0,279.0]

Dimension : 1.423
b : 2.03280

R2 : 0.982026
p-value : 0.00000
Confidence (95%): [1.390 - 1.456]
Bootstrap confidence : [1.356 - 1.475]

X	Y	Scaling behaviour	Estim
327.000	19031.0	0.387329	
329.000	19076.0	0.423286	
331.000	19125.0	0.424762	
333.000	19174.0	0.417542	
335.000	19222.0	0.471296	
337.000	19276.0	0.455289	
339.000	19328.0	0.456752	
341.000	19380.0	0.414203	
343.000	19427.0	0.397953	
345.000	19472.0	0.381613	
347.000	19515.0	0.338486	
349.000	19553.0	0.339770	
351.000	19591.0	0.269305	
353.000	19621.0	0.243397	
355.000	19648.0	0.208245	
357.000	19671.0	0.218259	
359.000	19695.0	0.219211	
361.000	19719.0	0.229328	
363.000	19744.0	0.230303	
365.000	19769.0	0.222031	
367.000	19793.0	0.213688	
369.000	19816.0	0.205275	
371.000	19838.0	0.224886	
373.000	19862.0	0.235226	
375.000	19887.0	0.264509	
377.000	19915.0	0.284495	
379.000	19945.0	0.285571	
381.000	19975.0	0.296190	
383.000	20006.0	0.278114	
385.000	20035.0	0.240678	
387.000	20060.0	0.222305	
389.000	20083.0	0.223195	
391.000	20106.0	0.253292	
393.000	20132.0	0.264029	
395.000	20159.0	0.274822	
397.000	20187.0	0.246293	
399.000	20212.0	0.237341	
401.000	20236.0	0.248166	
403.000	20261.0	0.229177	
405.000	20284.0	0.240047	
407.000	20308.0	0.240944	
409.000	20332.0	0.221697	
411.000	20354.0	0.222538	
413.000	20376.0	0.243672	
415.000	20400.0	0.224192	
417.000	20422.0	0.173906	
419.000	20439.0	0.174593	
421.000	20456.0	NaN	
