Input : 0.25M_7V_tif.tif-bin
Method : Radial
Parameters : cx242.782_cy253.509_coef1.10000_min1.00000_max189.000
Bounds : Range[11.0,189.0]

Dimension : 1.696
b : 0.954580

R2 : 0.988227
p-value : 0.00000
Confidence (95%): [1.623 - 1.769]
Bootstrap confidence : [1.605 - 1.795]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	
9.00000	81.0000	2.00000	
11.0000	121.000	2.00000	151.495
13.0000	169.000	2.00000	201.102
15.0000	225.000	2.00000	256.329
17.0000	289.000	1.95005	316.934
19.0000	359.000	1.96447	382.716
21.0000	437.000	1.95373	453.501
23.0000	522.000	1.90767	529.140
25.0000	612.000	1.93830	609.500
29.0000	816.000	1.87999	783.919
31.0000	925.000	1.86536	877.775
35.0000	1160.00	1.79956	1078.34
37.0000	1282.00	1.83038	1184.89
41.0000	1547.00	1.89819	1410.17
45.0000	1846.00	1.89890	1651.29
49.0000	2170.00	1.84032	1907.81
55.0000	2684.00	1.86585	2320.60
61.0000	3256.00	1.79998	2765.97
67.0000	3855.00	1.77527	3242.92
73.0000	4489.00	1.67116	3750.56
81.0000	5341.00	1.56455	4473.78
89.0000	6189.00	1.32890	5248.50
97.0000	6939.00	1.20516	6073.25
107.000	7810.00	1.03284	7172.58
117.000	8565.00	0.917830	8345.84
129.000	9368.00	0.861931	9848.54
143.000	10238.0	0.716898	11728.6
157.000	10947.0	0.850624	13741.3
171.000	11772.0	0.891008	15882.9
189.000	12870.0	NaN	18820.5
