Input : Fractal1M3V_Light3_tif.tif-bin
Method : Radial
Parameters : cx184.115_cy288.457_coef1.00000_min1.00000_max339.000
Bounds : Range[5.0,339.0]

Dimension : 1.099
b : 2.78807

R2 : 0.948657
p-value : 0.00000
Confidence (95%): [1.060 - 1.138]
Bootstrap confidence : [0.9871 - 1.184]

X	Y	Scaling behaviour	Estim
317.000	7324.00	0.563444	9099.61
319.000	7350.00	0.521596	9162.71
321.000	7374.00	0.479620	9225.85
323.000	7396.00	0.524837	9289.03
325.000	7420.00	0.526371	9352.25
327.000	7444.00	0.527896	9415.51
329.000	7468.00	0.551433	9478.81
331.000	7493.00	0.508760	9542.14
333.000	7516.00	0.532411	9605.51
335.000	7540.00	0.511685	9668.92
337.000	7563.00	0.513168	9732.37
339.000	7586.00	NaN	9795.85
