Input : 0.1M_7V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.20000_min1.00000_max237.000
Bounds : Range[1.0,237.0]

Dimension : 1.527
b : 9.89420

R2 : 0.997348
p-value : 0.00000
Confidence (95%): [1.494 - 1.561]
Bootstrap confidence : [1.476 - 1.569]

X	Y	Scaling behaviour	Estim
1.00000	27563.0	1.79734	19815.1
2.00000	7930.00	1.75598	6873.48
3.00000	3891.00	1.70433	3699.99
4.00000	2383.00	1.63374	2384.29
5.00000	1655.00	1.69061	1695.62
6.00000	1216.00	1.69081	1283.46
7.00000	937.000	1.60489	1014.19
9.00000	626.000	1.53547	690.883
11.0000	460.000	1.50067	508.492
13.0000	358.000	1.47205	393.971
15.0000	290.000	1.56529	316.617
18.0000	218.000	1.57268	239.655
22.0000	159.000	1.58194	176.387
27.0000	115.000	1.31339	129.006
32.0000	92.0000	1.67403	99.5181
38.0000	69.0000	1.09264	76.5421
46.0000	56.0000	1.60993	57.1687
55.0000	42.0000	1.66564	43.5129
66.0000	31.0000	0.768385	32.9359
79.0000	27.0000	1.62721	25.0264
95.0000	20.0000	2.36276	18.8822
114.000	13.0000	-0.00000	14.2924
137.000	13.0000	1.41083	10.7941
165.000	10.0000	1.95630	8.12499
198.000	7.00000	1.87144	6.14999
237.000	5.00000	NaN	4.67308
