Input : 0.01M_7V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max208.000
Bounds : Range[1.0,208.0]

Dimension : 1.793
b : 11.2750

R2 : 0.998808
p-value : 0.00000
Confidence (95%): [1.773 - 1.812]
Bootstrap confidence : [1.763 - 1.817]

X	Y	Scaling behaviour	Estim
1.00000	88817.0	1.81455	78824.0
2.00000	25250.0	1.85661	22752.7
3.00000	11894.0	1.87968	10999.5
4.00000	6926.00	1.86226	6567.60
5.00000	4571.00	1.85894	4402.37
6.00000	3257.00	1.88153	3175.02
7.00000	2437.00	1.85621	2408.45
8.00000	1902.00	1.87001	1895.75
9.00000	1526.00	1.83301	1534.92
10.0000	1258.00	1.82655	1270.75
11.0000	1057.00	1.86076	1071.17
12.0000	899.000	1.87039	916.475
13.0000	774.000	1.94708	793.973
14.0000	670.000	1.84066	695.203
16.0000	524.000	1.79397	547.212
17.0000	470.000	1.93477	490.861
19.0000	379.000	1.75338	402.131
21.0000	318.000	1.79868	336.086
23.0000	270.000	1.82006	285.514
26.0000	216.000	2.31111	229.182
28.0000	182.000	1.51451	200.672
31.0000	156.000	1.64567	167.204
34.0000	134.000	1.70594	141.688
37.0000	116.000	1.84349	121.760
41.0000	96.0000	1.69329	101.294
45.0000	82.0000	1.91748	85.7261
50.0000	67.0000	1.51348	70.9722
55.0000	58.0000	2.41687	59.8257
60.0000	47.0000	0.456248	51.1856
66.0000	45.0000	3.07679	43.1467
73.0000	33.0000	0.336055	36.0139
80.0000	32.0000	3.46492	30.5621
88.0000	23.0000	-0.00000	25.7622
97.0000	23.0000	3.08079	21.6359
107.000	17.0000	0.678544	18.1463
117.000	16.0000	0.660995	15.4608
129.000	15.0000	4.22295	12.9784
142.000	10.0000	1.12051	10.9262
156.000	9.00000	-0.00000	9.23141
172.000	9.00000	1.24965	7.74916
189.000	8.00000	1.39399	6.54452
208.000	7.00000	NaN	5.51192
