Input : 0.01M_3V_tif.tif-bin
Method : Radial
Parameters : cx212.520_cy215.918_coef1.10000_min1.00000_max189.000
Bounds : Range[21.0,189.0]

Dimension : 1.854
b : 0.515517

R2 : 0.997329
p-value : 0.00000
Confidence (95%): [1.811 - 1.896]
Bootstrap confidence : [1.808 - 1.909]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	
9.00000	81.0000	2.00000	
11.0000	121.000	2.00000	
13.0000	169.000	2.00000	
15.0000	225.000	2.00000	
17.0000	289.000	2.00000	
19.0000	361.000	2.00000	
21.0000	441.000	2.00000	472.874
23.0000	529.000	1.96156	559.730
25.0000	623.000	1.88400	653.283
29.0000	824.000	1.89494	860.162
31.0000	935.000	2.00790	973.346
35.0000	1193.00	2.05070	1218.89
37.0000	1337.00	2.04318	1351.13
41.0000	1649.00	2.01377	1634.31
45.0000	1989.00	1.99843	1942.11
49.0000	2358.00	1.98885	2274.18
55.0000	2967.00	1.98502	2817.18
61.0000	3644.00	1.96331	3413.23
67.0000	4381.00	1.95105	4061.53
73.0000	5179.00	1.86281	4761.38
81.0000	6286.00	1.76948	5773.58
89.0000	7426.00	1.75643	6874.90
97.0000	8638.00	1.72199	8064.12
107.000	10228.0	1.56030	9672.58
117.000	11758.0	1.51463	11414.7
129.000	13632.0	1.43861	13679.3
143.000	15810.0	1.47190	16558.0
157.000	18140.0	1.52853	19687.7
171.000	20670.0	1.62685	23065.2
189.000	24325.0	NaN	27766.8
