Input : Fractal1M3V_Light3_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max229.000
Bounds : Range[1.0,229.0]

Dimension : 1.313
b : 8.50791

R2 : 0.989666
p-value : 0.00000
Confidence (95%): [1.271 - 1.355]
Bootstrap confidence : [1.235 - 1.376]

X	Y	Scaling behaviour	Estim
1.00000	9776.00	1.79970	4953.82
2.00000	2808.00	1.70951	1993.83
3.00000	1404.00	1.62782	1170.79
4.00000	879.000	1.64453	802.483
5.00000	609.000	1.58690	598.678
6.00000	456.000	1.51550	471.225
7.00000	361.000	1.58857	384.882
8.00000	292.000	1.25081	322.986
9.00000	252.000	1.41924	276.707
10.0000	217.000	1.90326	240.958
11.0000	181.000	1.13354	212.614
12.0000	164.000	1.28249	189.660
13.0000	148.000	1.64645	170.739
14.0000	131.000	1.24066	154.908
16.0000	111.000	2.05466	129.996
17.0000	98.0000	1.07043	120.050
19.0000	87.0000	0.963798	103.738
21.0000	79.0000	2.31462	90.9635
23.0000	64.0000	0.526405	80.7221
26.0000	60.0000	0.930978	68.7197
28.0000	56.0000	1.31193	62.3480
31.0000	49.0000	1.66878	54.5486
34.0000	42.0000	1.82303	48.3181
37.0000	36.0000	-0.266906	43.2407
41.0000	37.0000	1.22902	37.7882
45.0000	33.0000	1.90461	33.4405
50.0000	27.0000	0.395974	29.1202
55.0000	26.0000	0.919911	25.6948
60.0000	24.0000	3.61809	22.9208
66.0000	17.0000	-0.567021	20.2246
73.0000	18.0000	1.28630	17.7173
80.0000	16.0000	0.677142	15.7103
88.0000	15.0000	2.29161	13.8623
97.0000	12.0000	-0.00000	12.1986
107.000	12.0000	3.21990	10.7241
117.000	9.00000	-0.00000	9.53704
129.000	9.00000	-0.00000	8.38953
142.000	9.00000	1.25263	7.39583
156.000	8.00000	1.36761	6.53686
172.000	7.00000	1.63551	5.75033
189.000	6.00000	-0.00000	5.08098
208.000	6.00000	1.89555	4.48048
229.000	5.00000	NaN	3.94892
