Input : 0.1M_7V_tif.tif-bin
Method : Radial
Parameters : cx354.585_cy206.716_coef1.10000_min1.00000_max189.000
Bounds : Range[29.0,189.0]

Dimension : 1.621
b : 1.40556

R2 : 0.991646
p-value : 0.00000
Confidence (95%): [1.550 - 1.692]
Bootstrap confidence : [1.537 - 1.714]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	
9.00000	81.0000	2.00000	
11.0000	121.000	2.00000	
13.0000	169.000	2.00000	
15.0000	225.000	2.00000	
17.0000	289.000	2.00000	
19.0000	361.000	2.00000	
21.0000	441.000	2.00000	
23.0000	529.000	2.00000	
25.0000	625.000	2.00000	
29.0000	841.000	2.00000	957.025
31.0000	961.000	1.99327	1066.28
35.0000	1224.00	1.96204	1298.10
37.0000	1365.00	1.95871	1420.45
41.0000	1669.00	1.79751	1677.62
45.0000	1973.00	1.74452	1950.86
49.0000	2289.00	1.79991	2239.63
55.0000	2818.00	1.74486	2700.81
61.0000	3376.00	1.79177	3194.36
67.0000	3994.00	1.81566	3719.04
73.0000	4667.00	1.78857	4273.74
81.0000	5621.00	1.68859	5058.42
89.0000	6590.00	1.59534	5892.78
97.0000	7560.00	1.26969	6775.08
107.000	8563.00	1.28877	7943.05
117.000	9608.00	1.29312	9180.87
129.000	10901.0	1.23091	10755.2
143.000	12375.0	1.14049	12710.2
157.000	13766.0	1.07275	14787.8
171.000	15087.0	0.830736	16983.8
189.000	16395.0	NaN	19975.2
