Input : 0.25M_7V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max229.000
Bounds : Range[1.0,229.0]

Dimension : 1.486
b : 9.40596

R2 : 0.992233
p-value : 0.00000
Confidence (95%): [1.444 - 1.527]
Bootstrap confidence : [1.414 - 1.542]

X	Y	Scaling behaviour	Estim
1.00000	20397.0	1.80382	12160.6
2.00000	5842.00	1.75038	4341.86
3.00000	2873.00	1.75716	2377.02
4.00000	1733.00	1.72239	1550.23
5.00000	1180.00	1.74143	1112.76
6.00000	859.000	1.60233	848.698
7.00000	671.000	1.78071	674.965
8.00000	529.000	1.50632	553.496
9.00000	443.000	1.81222	464.634
10.0000	366.000	1.60781	397.304
11.0000	314.000	1.86348	344.842
12.0000	267.000	1.22823	303.021
13.0000	242.000	1.53370	269.043
14.0000	216.000	1.70585	240.991
16.0000	172.000	1.19293	197.622
17.0000	160.000	2.00622	180.598
19.0000	128.000	1.15735	153.088
21.0000	114.000	1.66239	131.935
23.0000	98.0000	1.75788	115.254
26.0000	79.0000	1.25198	96.0598
28.0000	72.0000	1.15720	86.0440
31.0000	64.0000	1.64062	73.9675
34.0000	55.0000	0.663330	64.4813
37.0000	52.0000	1.85130	56.8682
41.0000	43.0000	0.776886	48.8234
45.0000	40.0000	2.11790	42.5165
50.0000	32.0000	1.40102	36.3555
55.0000	28.0000	-0.403296	31.5549
60.0000	29.0000	1.98554	27.7281
66.0000	24.0000	1.80866	24.0667
73.0000	20.0000	2.43694	20.7190
80.0000	16.0000	1.40102	18.0835
88.0000	14.0000	-0.00000	15.6956
97.0000	14.0000	2.45788	13.5814
107.000	11.0000	-0.973880	11.7390
117.000	12.0000	-0.00000	10.2796
129.000	12.0000	4.22295	8.89143
142.000	8.00000	1.42011	7.70929
156.000	7.00000	1.57879	6.70407
172.000	6.00000	-1.63551	5.79874
189.000	7.00000	-0.00000	5.04096
208.000	7.00000	3.49822	4.37220
229.000	5.00000	NaN	3.78995
