Input : 0.01M_3V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max208.000
Bounds : Range[1.0,208.0]

Dimension : 1.673
b : 10.4883

R2 : 0.997642
p-value : 0.00000
Confidence (95%): [1.647 - 1.699]
Bootstrap confidence : [1.631 - 1.706]

X	Y	Scaling behaviour	Estim
1.00000	46313.0	1.76304	35892.3
2.00000	13645.0	1.82856	11257.8
3.00000	6501.00	1.84915	5713.39
4.00000	3819.00	1.84000	3531.04
5.00000	2533.00	1.82517	2431.06
6.00000	1816.00	1.81406	1792.03
7.00000	1373.00	1.83236	1384.71
8.00000	1075.00	1.73802	1107.52
9.00000	876.000	1.76954	909.467
10.0000	727.000	1.72130	762.510
11.0000	617.000	1.76851	650.139
12.0000	529.000	1.74609	562.076
13.0000	460.000	1.78510	491.639
14.0000	403.000	1.82125	434.319
16.0000	316.000	1.53043	347.379
17.0000	288.000	1.67674	313.878
19.0000	239.000	1.77998	260.591
21.0000	200.000	1.65791	220.420
23.0000	172.000	1.62097	189.306
26.0000	141.000	1.73366	154.204
28.0000	124.000	1.44870	136.226
31.0000	107.000	1.99400	114.899
34.0000	89.0000	1.11389	98.4490
37.0000	81.0000	1.70418	85.4640
41.0000	68.0000	1.89554	71.9794
45.0000	57.0000	1.24362	61.6000
50.0000	50.0000	1.82933	51.6464
55.0000	42.0000	1.45673	44.0352
60.0000	37.0000	2.20040	38.0705
66.0000	30.0000	2.21362	32.4600
73.0000	24.0000	-0.445815	27.4232
80.0000	25.0000	1.82933	23.5286
88.0000	21.0000	1.58308	20.0612
97.0000	18.0000	2.56135	17.0458
107.000	14.0000	0.829458	14.4657
117.000	13.0000	0.819787	12.4575
129.000	12.0000	4.22295	10.5804
142.000	8.00000	-1.25263	9.01050
156.000	9.00000	1.20632	7.69910
172.000	8.00000	1.41674	6.53896
189.000	7.00000	1.60924	5.58518
208.000	6.00000	NaN	4.75826
