Input : 0.01M_5V_tif.tif-bin
Method : Radial
Parameters : cx238.402_cy229.722_coef1.10000_min1.00000_max445.000
Bounds : Range[37.0,277.0]

Dimension : 1.748
b : 1.02248

R2 : 0.994467
p-value : 0.00000
Confidence (95%): [1.688 - 1.809]
Bootstrap confidence : [1.674 - 1.827]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	
9.00000	81.0000	2.00000	
11.0000	121.000	2.00000	
13.0000	169.000	2.00000	
15.0000	225.000	2.00000	
17.0000	289.000	2.00000	
19.0000	361.000	2.00000	
21.0000	441.000	2.00000	
23.0000	529.000	2.00000	
25.0000	625.000	2.00000	
29.0000	841.000	2.00000	
31.0000	961.000	2.00000	
35.0000	1225.00	2.00000	
37.0000	1369.00	2.00000	1534.66
41.0000	1681.00	1.99469	1836.38
45.0000	2024.00	1.99112	2160.98
49.0000	2398.00	1.96204	2507.93
55.0000	3008.00	1.98932	3069.24
61.0000	3696.00	1.94045	3678.36
67.0000	4434.00	1.92509	4334.07
73.0000	5230.00	1.89170	5035.28
81.0000	6367.00	1.86687	6039.32
89.0000	7591.00	1.87694	7120.48
97.0000	8922.00	1.85400	8276.94
107.000	10702.0	1.85841	9825.98
117.000	12635.0	1.73816	11487.4
129.000	14972.0	1.62621	13625.8
143.000	17703.0	1.57002	16315.5
157.000	20499.0	1.49289	19209.9
171.000	23287.0	1.48040	22304.2
189.000	27006.0	1.37376	26569.6
207.000	30601.0	1.20341	31150.4
229.000	34556.0	1.15126	37167.3
251.000	38405.0	1.14776	43633.2
277.000	43005.0	1.22603	51839.7
305.000	48394.0	1.21557	
335.000	54240.0	0.902237	
369.000	59183.0	0.657574	
405.000	62919.0	0.234476	
445.000	64324.0	NaN	
