Input : Fractal1M5V_Light0_tif.tif-bin
Method : Radial
Parameters : cx241.654_cy300.423_coef1.00000_min1.00000_max359.000
Bounds : Range[7.0,359.0]

Dimension : 1.111
b : 2.64512

R2 : 0.981741
p-value : 0.00000
Confidence (95%): [1.088 - 1.133]
Bootstrap confidence : [1.044 - 1.166]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	122.339
9.00000	81.0000	2.00000	161.738
11.0000	121.000	2.00000	202.127
13.0000	169.000	2.00000	243.344
15.0000	225.000	1.94452	285.272
17.0000	287.000	1.86095	327.827
19.0000	353.000	1.76018	370.941
21.0000	421.000	1.71312	414.563
23.0000	492.000	1.53116	458.648
25.0000	559.000	1.45011	503.161
27.0000	625.000	1.26235	548.071
29.0000	684.000	1.30103	593.352
31.0000	746.000	1.27697	638.980
33.0000	808.000	1.27599	684.937
35.0000	871.000	1.21812	731.203
37.0000	932.000	1.08916	777.764
39.0000	987.000	0.910859	824.604
41.0000	1033.00	0.895277	871.712
43.0000	1078.00	0.899562	919.076
45.0000	1123.00	0.903509	966.684
47.0000	1168.00	1.08455	1014.53
49.0000	1222.00	1.08089	1062.60
51.0000	1276.00	1.11660	1110.89
53.0000	1332.00	1.20887	1159.38
55.0000	1393.00	1.43003	1208.09
57.0000	1466.00	1.18214	1256.99
59.0000	1527.00	1.25047	1306.08
61.0000	1592.00	1.24044	1355.35
63.0000	1657.00	1.21260	1404.80
65.0000	1721.00	1.14933	1454.43
67.0000	1782.00	1.10739	1504.23
69.0000	1841.00	1.01178	1554.19
71.0000	1895.00	0.974489	1604.32
73.0000	1947.00	0.771010	1654.60
75.0000	1988.00	0.756953	1705.03
77.0000	2028.00	0.705087	1755.61
79.0000	2065.00	0.653199	1806.34
81.0000	2099.00	0.639546	1857.21
83.0000	2132.00	0.664478	1908.23
85.0000	2166.00	0.708775	1959.37
87.0000	2202.00	0.713498	2010.65
89.0000	2238.00	0.718071	2062.07
91.0000	2274.00	0.742408	2113.61
93.0000	2311.00	0.706450	2165.27
