Input : 0.1M_5V_tif.tif-bin
Method : Radial
Parameters : cx293.380_cy109.103_coef1.10000_min1.00000_max143.000
Bounds : Range[13.0,143.0]

Dimension : 1.337
b : 2.02204

R2 : 0.980386
p-value : 0.00000
Confidence (95%): [1.256 - 1.419]
Bootstrap confidence : [1.226 - 1.426]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	
9.00000	81.0000	2.00000	
11.0000	121.000	2.00000	
13.0000	169.000	2.00000	233.134
15.0000	225.000	2.00000	282.295
17.0000	289.000	2.00000	333.722
19.0000	361.000	2.00000	387.234
21.0000	441.000	1.93748	442.681
23.0000	526.000	1.85525	499.939
25.0000	614.000	1.81650	558.903
29.0000	804.000	1.62452	681.589
31.0000	896.000	1.43150	745.161
35.0000	1066.00	1.16034	876.442
37.0000	1137.00	1.16165	944.044
41.0000	1281.00	0.946571	1082.94
45.0000	1399.00	0.896594	1226.48
49.0000	1510.00	0.954432	1374.39
55.0000	1686.00	1.05189	1603.94
61.0000	1880.00	1.15925	1842.10
67.0000	2096.00	1.21899	2088.30
73.0000	2327.00	1.22085	2342.05
81.0000	2642.00	1.10576	2691.43
89.0000	2932.00	0.994361	3052.65
97.0000	3194.00	1.13426	3424.99
107.000	3570.00	1.07246	3905.14
117.000	3929.00	1.33726	4400.66
129.000	4477.00	1.21684	5014.37
143.000	5075.00	NaN	5755.01
