Input : 0.01M_7V_tif.tif-bin
Method : Radial
Parameters : cx232.075_cy221.095_coef1.10000_min1.00000_max405.000
Bounds : Range[61.0,305.0]

Dimension : 1.815
b : 0.825477

R2 : 0.997657
p-value : 0.00000
Confidence (95%): [1.768 - 1.862]
Bootstrap confidence : [1.760 - 1.877]

X	Y	Scaling behaviour	Estim
1.00000	1.00000	2.00000	
3.00000	9.00000	2.00000	
5.00000	25.0000	2.00000	
7.00000	49.0000	2.00000	
9.00000	81.0000	2.00000	
11.0000	121.000	2.00000	
13.0000	169.000	2.00000	
15.0000	225.000	2.00000	
17.0000	289.000	1.95005	
19.0000	359.000	2.01009	
21.0000	439.000	2.00833	
23.0000	527.000	2.00699	
25.0000	623.000	2.00555	
29.0000	839.000	2.00446	
31.0000	959.000	2.00370	
35.0000	1223.00	2.00310	
37.0000	1367.00	2.00264	
41.0000	1679.00	2.00217	
45.0000	2023.00	2.00182	
49.0000	2399.00	2.00149	
55.0000	3023.00	2.00120	
61.0000	3719.00	2.00098	3971.93
67.0000	4487.00	2.00082	4709.30
73.0000	5327.00	2.00068	5502.55
81.0000	6559.00	1.99251	6645.64
89.0000	7913.00	1.97216	7884.65
97.0000	9377.00	1.93723	9217.92
107.000	11340.0	1.92988	11014.8
117.000	13474.0	1.87947	12954.0
129.000	16188.0	1.88400	15465.8
143.000	19656.0	1.78081	18646.1
157.000	23213.0	1.74971	22091.0
171.000	26955.0	1.72017	25795.7
189.000	32019.0	1.67254	30934.3
207.000	37281.0	1.60453	36488.1
229.000	43840.0	1.47420	43829.9
251.000	50188.0	1.53260	51770.1
277.000	58372.0	1.51667	61912.1
305.000	67551.0	1.42451	73736.4
335.000	77210.0	1.01723	
369.000	85188.0	0.428164	
405.000	88652.0	NaN	
