Input : 0.01M_5V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.10000_min1.00000_max208.000
Bounds : Range[1.0,208.0]

Dimension : 1.712
b : 10.9368

R2 : 0.999131
p-value : 0.00000
Confidence (95%): [1.695 - 1.728]
Bootstrap confidence : [1.683 - 1.732]

X	Y	Scaling behaviour	Estim
1.00000	64324.0	1.74320	56205.0
2.00000	19214.0	1.81199	17161.2
3.00000	9216.00	1.81079	8573.55
4.00000	5474.00	1.83100	5239.90
5.00000	3638.00	1.79626	3576.49
6.00000	2622.00	1.83498	2617.79
7.00000	1976.00	1.78951	2010.72
8.00000	1556.00	1.66442	1599.91
9.00000	1279.00	1.87251	1307.82
10.0000	1050.00	1.72281	1092.02
11.0000	891.000	1.88829	927.652
12.0000	756.000	1.65881	799.297
13.0000	662.000	1.62251	696.966
14.0000	587.000	1.79329	613.940
16.0000	462.000	1.49378	488.506
17.0000	422.000	1.86355	440.359
19.0000	343.000	1.50629	364.025
21.0000	295.000	1.55870	306.717
23.0000	256.000	1.65448	262.493
26.0000	209.000	1.79263	212.807
28.0000	183.000	1.88840	187.456
31.0000	151.000	1.53813	157.486
34.0000	131.000	1.43816	134.456
37.0000	116.000	1.84349	116.340
41.0000	96.0000	1.69329	97.5942
45.0000	82.0000	1.50174	83.2201
50.0000	70.0000	2.34124	69.4884
55.0000	56.0000	1.30246	59.0292
60.0000	50.0000	1.82933	50.8616
66.0000	42.0000	1.52920	43.2061
73.0000	36.0000	1.28630	36.3593
80.0000	32.0000	2.17856	31.0851
88.0000	26.0000	1.71559	26.4062
97.0000	22.0000	0.971385	22.3525
107.000	20.0000	2.49755	18.8971
117.000	16.0000	2.12661	16.2175
129.000	13.0000	0.833651	13.7217
142.000	12.0000	3.05951	11.6423
156.000	9.00000	-0.00000	9.91163
172.000	9.00000	1.24965	8.38627
189.000	8.00000	-0.00000	7.13690
208.000	8.00000	NaN	6.05769
