Input : 0.1M_5V_tif.tif-bin
Method : Boxcounting
Parameters : coef1.20000_min1.00000_max114.000
Bounds : Range[1.0,114.0]

Dimension : 1.483
b : 9.00009

R2 : 0.996065
p-value : 0.00000
Confidence (95%): [1.439 - 1.526]
Bootstrap confidence : [1.412 - 1.534]

X	Y	Scaling behaviour	Estim
1.00000	10868.0	1.75899	8103.80
2.00000	3211.00	1.70414	2899.46
3.00000	1609.00	1.58442	1589.31
4.00000	1020.00	1.64256	1037.40
5.00000	707.000	1.65339	745.157
6.00000	523.000	1.57913	568.639
7.00000	410.000	1.51749	452.446
9.00000	280.000	1.31634	311.693
11.0000	215.000	1.65747	231.472
13.0000	163.000	1.26551	180.684
15.0000	136.000	1.57788	146.139
18.0000	102.000	1.40114	111.521
22.0000	77.0000	1.55499	82.8187
27.0000	56.0000	1.41944	61.1287
32.0000	44.0000	0.701937	47.5154
38.0000	39.0000	1.55068	36.8270
46.0000	29.0000	2.07935	27.7416
55.0000	20.0000	0.281334	21.2842
66.0000	19.0000	2.11070	16.2423
79.0000	13.0000	-0.00000	12.4413
95.0000	13.0000	3.39532	9.46447
114.000	7.00000	NaN	7.22246
